ticker	2020-08-01	2020-05-01	2020-02-01	2019-11-01	2019-08-01
ATRX	0.08	0.05	0.07	0.09	0.17
BTTR	0.5999	0.8	1.32	3.32	5.0
BLCM	6.71	5.0	12.2	8.21	14.4
DMAC	5.95	3.95	4.36	2.87	3.73
IRMD	22.28	21.76	25.5	25.25	23.88
NAOV	1.46	2.073	2.754	2.848	3.03
MDIA	4.94	3.75	7.227	-	-
IPV	9.94	9.79	-	-	-
PYRNF	4.15	0.48	0.289	0.399	0.4515
FEIM	10.47	10.04	9.25	11.8	11.94
BOCH	7.55	7.64	10.55	11.01	10.52
STKS	1.34	1.82	4.41	2.82	3.12
LEU	14.8	6.71	6.32	5.03	3.26
IFS	25.25	25.14	39.42	38.94	39.38
RDI	4.36	4.26	10.2	11.37	13.05
MLYF	0.091	0.1075	0.0879	0.1119	0.1511
SAQN	10.1	9.95	9.9	-	-
TIPT	5.05	6.35	6.75	7.21	6.66
CVCY	13.14	14.63	18.56	20.57	20.26
RPMT	0.25	0.221	0.15	0.163	0.193
OEG	0.5959	-	-	-	-
AEYE	14.69	7.59	4.93	3.25	6.09
VLCJF	0.362	0.255	0.32	0.375	0.443
CELC	5.3	6.01	11.04	15.75	22.76
NCBS	56.02	55.02	70.65	68.98	65.71
IMTE	3.49	3.34	8.475	7.1	7.545
OAC	10.3	9.97	10.05	9.84	-
CLHRF	0.57	0.38	0.39	0.34	0.29
NMRD	6.34	4.98	3.18	7.46	8.34
ALRS	19.38	16.87	20.75	21.21	19.07
MBIN	18.43	15.32	19.49	16.11	17.57
VOC	1.81	1.99	4.1822	4.7015	5.1034
NGS	6.38	6.35	10.52	11.89	16.04
KFS	2.71	1.72	1.7	2.24	2.76
NGENF	1.2324	1.2136	2.2906	1.145	1.07
BFIN	7.29	8.17	12.22	12.53	12.94
ESMC	0.11	0.13	0.17	0.08	0.12
FFG	34.78	38.51	49.58	52.47	56.89
NRIM	23.02	23.17	36.75	37.73	37.4
OCC	2.4	2.46	3.46	2.95	3.76
ALIM	5.87	5.4	6.59	-	-
PRTH	2.2	1.61	2.99	3.46	7.76
FONR	24.62	19.5	21.11	20.33	24.54
ETHOF	0.12	0.08	0.11	0.14	0.21
TRVI	4.97	2.87	4.98	2.95	6.01
MOXC	0.89	0.68	1.89	2.0	2.0
EEVVF	0.05	0.0624	0.1264	0.1333	0.28
ANAT	73.65	79.69	108.16	116.97	117.17
TBNK	21.97	24.88	28.53	28.37	27.38
CRPOF	0.5198	0.198	0.3027	0.288	0.305
KNWN	2.0	1.71	2.1	1.14	1.29
GHC	398.37	388.37	543.28	622.85	733.11
EDUC	13.34	4.96	5.61	6.55	6.39
RMBI	11.53	10.63	15.14	13.89	13.14
AMMX	0.0114	0.0098	0.0129	0.012	0.019
ACNB	20.6	27.68	31.5	34.53	36.13
DFPH	10.17	-	-	-	-
EGTYF	0.1	0.04	0.09	0.06	0.08
GNTY	27.1	26.76	30.14	31.01	30.01
OBCI	16.01	7.19	3.84	3.42	3.64
ESLT	140.95	135.65	151.44	162.49	157.78
XOMA	16.7	24.48	23.19	19.29	18.26
QUBT	2.25	1.5	2.25	3.5	5.0
MNDO	2.05	1.73	2.2941	2.0647	1.9147
CTO	39.64	41.76	62.8	63.18	61.84
AEHR	2.05	1.74	2.05	1.67	1.31
MRLN	7.34	10.46	19.24	23.04	22.39
BBU	26.58	31.64	41.9	38.95	37.66
GPP	7.08	5.24	13.71	12.63	12.58
CBFV	17.3	20.78	28.67	26.1	23.54
LTRN	12.32	-	-	-	-
STHI	0.1509	0.1939	0.161	0.21	0.38
GIGM	2.97	2.33	2.38	2.47	2.53
CPTRF	0.1101	0.0904	0.17	0.395	0.7548
CPWR	0.036	0.055	0.086	0.036	0.038
PBFS	8.7	10.58	14.68	13.5	14.4
KOSS	1.9	1.32	1.48	1.82	1.95
CZNC	17.7	17.63	24.82	24.71	24.36
